	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	epsilon	object_in_range	observations:	reward	v_distance_reward	v_measure_calc_distance	v_measure_sensor_distance
29	-276.8569081232025	43.6765239310018	2.0	0.0	0.4942116	1.0	[0.15, 0.011700335988892377, 0.005996887679287859, 0.07678381635576473]	-8.566593754261033	0.0017385502773449722	47.499999999999986	1.4744880802285576
30	-289.02301338405135	45.19720770792969	3.0	0.0	0.494012	1.0	[0.15, 0.013435702467340918, 0.0028208386094598185, 0.040398337412003195]	-12.166105260848823	0.012329414093912283	49.29999999999998	1.5206837769278923
31	-301.7508142038751	46.72134219939877	3.0	0.0	0.4938124	1.0	[0.15, 0.014885364407416245, 0.002514483332118681, 0.03677734091440372]	-12.727800819823738	0.0036623338246232775	51.09999999999998	1.524134491469078
32	-314.4302431427189	48.24579712941111	3.0	0.0	0.4936128	1.0	[0.15, 0.015363520813395565, 0.002523582925893357, 0.036019400463645566]	-12.679428938843763	0.004146991605772083	52.89999999999998	1.5244549300123416
33	-323.4120105918197	49.734545075164306	4.0	0.0	0.4934132	1.0	[0.15, 0.01139832366664622, 0.005615108238865515, 0.06409176510015914]	-8.981767449100825	0.006674591274268984	52.89999999999998	1.4887479457531938
34	-327.7437286898996	51.153293910946445	5.0	0.0	0.4932136	1.0	[0.15, 0.024680903075178458, 0.018542383993757152, 0.07900943369910646]	-4.331718098079939	0.01089774496256324	52.89999999999998	1.4187488357821396
35	-340.48519192692214	52.677718823427895	3.0	0.0	0.493014	1.0	[0.15, 0.015112904503184815, 0.0024982975491852164, 0.03634672964967315]	-12.7414632370225	0.017337013317403654	54.699999999999974	1.5244249124814506
36	-354.50072749212325	54.20839789698746	3.0	0.0	0.4928144	1.0	[0.15, 0.022437448750083896, 0.001972662943824983, 0.02503622182874391]	-14.015535565201123	0.008494950287541504	56.49999999999997	1.5306790735595626
37	-368.9408679995247	55.739824140833925	2.0	0.0	0.4926148	1.0	[0.15, 0.024273800863912568, 0.0018526173816076981, 0.022842730999928767]	-14.440140507401438	0.000873088298018414	58.29999999999997	1.531426243846465
38	-383.4545525884099	57.27136382977592	3.0	0.0	0.4924152	1.0	[0.15, 0.024194820488014246, 0.0018327788506251501, 0.022870393413687674]	-14.513684588885205	0.00014702398766049314	60.099999999999966	1.5315396889419994
39	-398.02457888479375	58.802992703300404	3.0	0.0	0.4922156	1.0	[0.15, 0.02356791719330335, 0.0018173579386611479, 0.023456250610026232]	-14.570026296383816	0.00011786176474744761	61.89999999999996	1.5316288735244807
40	-14.864967525830693	1.5320647018259743	1.0	1.0	0.492016	1.0	[0.15, 0.022804142048329718, 0.0017361285993238921, 0.02403338988154659]	-14.864967525830693	0.0005323131057551368	1.0	1.5320647018259743
41	-29.691929733930824	3.064031271743814	3.0	1.0	0.4918164	1.0	[0.15, 0.022594546488605708, 0.0017509529068085365, 0.024291769268431223]	-14.82696220810013	0.0007759042692335943	2.8	1.5319665699178395
42	-44.24462127691629	4.595618760984994	3.0	1.0	0.4916168	1.0	[0.15, 0.02302549557498598, 0.0018217902495958618, 0.024023061274634692]	-14.552691542985468	0.0011432231109473347	4.6	1.5315874892411803
43	-58.89563132951389	6.127328969181397	3.0	1.0	0.4914172	1.0	[0.15, 0.022627430748549893, 0.0017962193973623424, 0.024373715418389556]	-14.651010052597595	0.00030801722129418843	6.3999999999999995	1.5317102081964027
44	-73.50967260041925	7.658964874830891	3.0	1.0	0.4912176	1.0	[0.15, 0.02239954047416638, 0.0018061287036339293, 0.024641546316133647]	-14.614041270905359	0.0003953530045274592	8.2	1.5316359056494941
45	-88.15113924113807	9.190664646550582	3.0	1.0	0.491018	1.0	[0.15, 0.022666296967621957, 0.0017986416301584455, 0.024338614086105017]	-14.641466640718814	0.0005539549513233031	10.0	1.531699771719691
46	-96.27012306626106	10.680629768022728	4.0	1.0	0.4908184	1.0	[0.15, 0.01720708765589068, 0.00608890433788746, 0.05698842765818644]	-8.118983825122998	0.008483889683571347	10.0	1.4899651214721454
47	-105.92218644993899	12.185479677730921	3.0	1.0	0.4906188	1.0	[0.15, 0.012335594319669164, 0.004794440318057383, 0.05026220985925914]	-9.652063383677925	0.006004836150274692	11.8	1.5048499097081924
48	-119.37814786405869	13.715209488431583	5.0	1.0	0.4904192	1.0	[0.15, 0.024828962859898537, 0.0021515460334476273, 0.023046914268238242]	-13.455961414119695	0.012527705328438825	11.8	1.5297298107006618
49	-131.7181429530327	15.237150437006761	3.0	1.0	0.4902196	1.0	[0.15, 0.039482611305592864, 0.002738653072921037, 0.013518382769549607]	-12.339995088974003	0.0066454419679424555	13.600000000000001	1.5219409485751787
50	-143.10603240326515	16.75292344239459	3.0	1.0	0.49002	1.0	[0.15, 0.044801064209983144, 0.0033630722765907797, 0.011927022289463024]	-11.38788945023246	0.0015716056223661473	15.400000000000002	1.515773005387829
51	-154.71264942556883	18.270509763748024	3.0	1.0	0.4898204	1.0	[0.15, 0.043199395016894265, 0.0031926233775170353, 0.01240458972838574]	-11.606617022303668	0.004855623101998178	17.200000000000003	1.5175863213534344
52	-166.84876808353053	19.79154637495885	3.0	1.0	0.4896208	1.0	[0.15, 0.04014881241071826, 0.0028481920651540703, 0.013360759158236767]	-12.1361186579617	0.004650641545683627	19.000000000000004	1.5210366112108251
53	-179.50712815237569	21.31592515989797	0.0	1.0	0.4894212	1.0	[0.15, 0.037142555436650966, 0.002490980440126986, 0.014388178024342965]	-12.658360068845141	0.004204571335927728	22.500000000000004	1.5243787849391208
54	-192.5281049980212	22.842020113297227	3.0	1.0	0.4892216	1.0	[0.15, 0.03463363587489687, 0.0023782647117362612, 0.015733507803651268]	-13.020976845645519	0.0026851239499782946	24.300000000000004	1.5260949533992578
55	-205.71393577796547	24.36902431717819	2.0	1.0	0.489022	1.0	[0.15, 0.03336030232176346, 0.0023015961088330155, 0.016425930115591604]	-13.185830779944256	0.002794212260671162	26.100000000000005	1.5270042038809635
56	-214.6914042578935	25.865193030459807	5.0	1.0	0.4888224	1.0	[0.15, 0.05632251889195477, 0.0058023732472520535, 0.011272546102233823]	-8.977468479928023	0.008119214949452096	26.100000000000005	1.4961687132816155
57	-221.0321260483268	27.320385197410214	2.0	1.0	0.4886228	1.0	[0.15, 0.07574118154426948, 0.011301327444104383, 0.013673821941918393]	-6.340721790433302	0.005177382711288733	27.900000000000006	1.4551921669504073
58	-233.48069601054388	28.84406199626462	2.0	1.0	0.4884232	1.0	[0.15, 0.037020911990526095, 0.0026414424472716697, 0.014765920282545635]	-12.448569962217066	0.019028007199513843	29.700000000000006	1.523676798854408
59	-247.8313908479078	30.375146327255862	3.0	1.0	0.4882236	1.0	[0.15, 0.021314885088477002, 0.001877616514909959, 0.02602441961444892]	-14.350694837363944	0.009843702313621297	31.500000000000007	1.5310843309912432
60	-260.4442409305077	31.900848418456693	1.0	1.0	0.488024	1.0	[0.15, 0.016696503086748634, 0.0024737783790677397, 0.03377612417618749]	-12.612850082599907	0.00308331436979803	32.50000000000001	1.5257020912008321
