	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	epsilon	object_in_range	observations:	reward	v_distance_reward	v_measure_calc_distance	v_measure_sensor_distance
27	-209.21740907565027	42.14330927699171	0.0	0.0	0.99568432	1.0	[0.15, 0.017548928854616973, 0.002249573323417616, 0.15]	-11.277512358683579	0.021632528667348733	36.0	1.5594484245226723
28	-213.26752822110683	43.63838892734304	2.0	0.0	0.99552448	1.0	[0.15, 0.04737312179923058, 0.013242180286510865, 0.15]	-4.050119145456573	0.013300566631023298	36.0	1.4950796503513286
29	-217.67908795139354	45.14928798059313	2.0	0.0	0.99536464	1.0	[0.15, 0.02674426301155105, 0.014451958687770716, 0.15]	-4.41155973028672	0.012937832064340354	36.0	1.5108990532500919
30	-227.0864742007211	46.729231484401865	0.0	0.0	0.9952048	1.0	[0.15, 0.0113904029568782, 0.003906762501432563, 0.15]	-9.40738624932758	0.013951706341399901	39.0	1.5799435038087384
31	-234.34457170362953	48.26810570234615	1.0	0.0	0.99504496	1.0	[0.15, 0.028261947302877365, 0.005496600998054708, 0.15]	-7.258097502908419	0.012008285320338583	39.0	1.5388742179442803
32	-242.9974087341004	49.74913788472685	1.0	0.0	0.99488512	1.0	[0.15, 0.0688600283115138, 0.006910562583784049, 0.008838728535362344]	-8.652837030470856	0.015609671605230665	39.0	1.4810321823806993
33	-247.69966594719762	51.25332814462988	2.0	0.0	0.99472528	1.0	[0.15, 0.04707590425207336, 0.010329477241525808, 0.15]	-4.702257213097227	0.013025742924912232	39.0	1.5041902599030361
34	-259.06762048684874	52.80239938984358	0.0	0.0	0.99456544	1.0	[0.15, 0.028387858764935433, 0.0021734754354175326, 0.15]	-11.367954539651118	0.009390025849450572	42.0	1.5490712452136939
35	-270.61875769469685	54.35130600144163	0.0	0.0	0.9944056	1.0	[0.15, 0.02839313415994499, 0.0022253426423281073, 0.15]	-11.55113720784813	0.001269355920000268	45.0	1.5489066115980508
36	-278.9884228438366	55.835714135540385	1.0	0.0	0.99424576	1.0	[0.15, 0.06440089652237545, 0.006978560111443146, 0.010341990433730564]	-8.369665149139706	0.013111117373146875	45.0	1.4844081340987607
37	-284.2051692609024	57.333419709164566	1.0	0.0	0.99408592	1.0	[0.15, 0.15, 0.019549997883424687, 0.00996974953144967]	-5.216746417065791	0.014299206048491908	45.0	1.4977055736241782
