	accu_reward	accu_v_measure_sensor_distance	action_index	episode_index	object_in_range	observations:	reward	v_measure_calc_distance	v_measure_sensor_distance
89	1.9877338870273784	1.1698486898872615	0.0	50.0	1.0	[0.1371364643778884, 0.15, 0.15, 0.15]	1.9877338870273784	3.0	1.1698486898872615
90	2.3933834849247275	1.2197494596345668	0.0	51.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.3933834849247275	3.0	1.2197494596345668
91	2.264481660092552	1.6	0.0	52.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.264481660092552	3.0	1.6
92	1.4711683303845398	1.6	0.0	53.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.4711683303845398	3.0	1.6
93	0.44676207155862613	1.4078650283713583	0.0	54.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.44676207155862613	3.0	1.4078650283713583
94	1.3595792156119315	1.4036189236985628	0.0	55.0	1.0	[0.11494599238084126, 0.15, 0.15, 0.15]	1.3595792156119315	3.0	1.4036189236985628
95	2.5282929003844505	1.2997946696259552	0.0	56.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.5282929003844505	3.0	1.2997946696259552
96	2.123382914943077	1.2757054792262346	0.0	57.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.123382914943077	3.0	1.2757054792262346
97	0.5927426017278938	1.2332830524529381	0.0	58.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.5927426017278938	3.0	1.2332830524529381
98	0.5605926249353098	1.0206329976026325	0.0	59.0	1.0	[0.15, 0.15, 0.15, 0.15]	0.5605926249353098	3.0	1.0206329976026325
99	1.3159555850836941	1.6	0.0	60.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.3159555850836941	3.0	1.6
100	1.677939925898916	1.6	0.0	61.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.677939925898916	3.0	1.6
101	0.852708874379965	1.6	0.0	62.0	0.0	[0.15, 0.15, 0.15, 0.15]	0.852708874379965	3.0	1.6
102	1.7012960150736252	1.6	0.0	63.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.7012960150736252	3.0	1.6
103	1.453788394047228	1.6	0.0	64.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.453788394047228	3.0	1.6
104	1.3501083965236642	1.6	0.0	65.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.3501083965236642	3.0	1.6
105	1.6751880384390165	1.6	0.0	66.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6751880384390165	3.0	1.6
106	1.9780732599195907	1.6	0.0	67.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.9780732599195907	3.0	1.6
107	1.9143187490827058	1.6	0.0	68.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.9143187490827058	3.0	1.6
108	1.8540233087704867	1.6	0.0	69.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.8540233087704867	3.0	1.6
109	1.6703825274396	1.6	0.0	70.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6703825274396	3.0	1.6
110	1.7953063019219242	1.6	0.0	71.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.7953063019219242	3.0	1.6
111	1.472739293963884	1.4238546085262334	0.0	72.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.472739293963884	3.0	1.4238546085262334
112	1.8268395562416866	1.4087947447466513	0.0	73.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.8268395562416866	3.0	1.4087947447466513
113	1.7126950283764506	1.4346794303760313	0.0	74.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.7126950283764506	3.0	1.4346794303760313
114	1.9573349721286373	1.4378694214863053	0.0	75.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.9573349721286373	3.0	1.4378694214863053
115	2.0366452385539007	1.6	0.0	76.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.0366452385539007	3.0	1.6
116	2.0407854669850947	1.6	0.0	77.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.0407854669850947	3.0	1.6
117	2.122935154045889	1.6	0.0	78.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.122935154045889	3.0	1.6
118	1.463233452977445	1.6	0.0	79.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.463233452977445	3.0	1.6
119	2.031161160516153	1.6	0.0	80.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.031161160516153	3.0	1.6
120	2.223892219389324	1.422433311152627	0.0	81.0	1.0	[0.15, 0.15, 0.15, 0.15]	2.223892219389324	3.0	1.422433311152627
121	1.8547847593026316	1.4020447951958053	0.0	82.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.8547847593026316	3.0	1.4020447951958053
122	1.6502014150592617	1.4352103917024936	0.0	83.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.6502014150592617	3.0	1.4352103917024936
123	1.971011370389211	1.4106383364252477	0.0	84.0	1.0	[0.15, 0.15, 0.15, 0.15]	1.971011370389211	3.0	1.4106383364252477
124	2.005912125355315	1.6	0.0	85.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.005912125355315	3.0	1.6
125	1.0451007967806518	1.6	0.0	86.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.0451007967806518	3.0	1.6
126	1.6676712866454124	1.6	0.0	87.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6676712866454124	3.0	1.6
127	1.99010659987823	1.6	0.0	88.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.99010659987823	3.0	1.6
128	2.260766245802579	1.6	0.0	89.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.260766245802579	3.0	1.6
129	2.209579232952289	1.6	0.0	90.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.209579232952289	3.0	1.6
130	2.2562387299907103	1.6	0.0	91.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.2562387299907103	3.0	1.6
131	2.12741013546269	1.6	0.0	92.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.12741013546269	3.0	1.6
132	2.094368062119517	1.6	0.0	93.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.094368062119517	3.0	1.6
133	1.4834353227310855	1.6	0.0	94.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.4834353227310855	3.0	1.6
134	1.314591338539316	1.6	0.0	95.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.314591338539316	3.0	1.6
135	1.2361470092716347	1.6	0.0	96.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.2361470092716347	3.0	1.6
136	2.0071334934623426	1.6	0.0	97.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.0071334934623426	3.0	1.6
137	2.338229910971806	1.6	0.0	98.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.338229910971806	3.0	1.6
138	2.262078888817096	1.6	0.0	99.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.262078888817096	3.0	1.6
139	1.2880741883752889	1.6	0.0	100.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.2880741883752889	3.0	1.6
140	1.383768880052286	1.6	0.0	101.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.383768880052286	3.0	1.6
141	1.8173196211594125	1.6	0.0	102.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.8173196211594125	3.0	1.6
142	1.8990821459849974	1.6	0.0	103.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.8990821459849974	3.0	1.6
143	2.1128768489110215	1.6	0.0	104.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.1128768489110215	3.0	1.6
144	1.4162221305769838	1.6	0.0	105.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.4162221305769838	3.0	1.6
145	2.0600859236882108	1.6	0.0	106.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.0600859236882108	3.0	1.6
146	2.1331285489066034	1.6	0.0	107.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.1331285489066034	3.0	1.6
147	1.4787545868054524	1.6	0.0	108.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.4787545868054524	3.0	1.6
148	2.1178816529217395	1.6	0.0	109.0	0.0	[0.15, 0.15, 0.15, 0.15]	2.1178816529217395	3.0	1.6
149	1.3244655286190294	1.6	0.0	110.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.3244655286190294	3.0	1.6
150	1.6580536077199928	1.6	0.0	111.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.6580536077199928	3.0	1.6
151	1.656362008203744	1.6	0.0	112.0	0.0	[0.15, 0.15, 0.15, 0.15]	1.656362008203744	3.0	1.6
